population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Prairie Island,North,11,PI11,C,40,140,248,388,0.246141986,0.247937406,0.020535615,0.004591903,0.29486302,16
Prairie Island,North,12,PI12,B,10,114,14,118,0.040464171,0.037287887,0.011092781,0.002480421,0.071470119,16
Prairie Island,North,12,PI12,B,20,319,175,494,0.895583399,0.870509243,0.133155971,0.02977458,1.310211725,16
Prairie Island,North,12,PI12,B,25,97,45,142,0.991160732,0.939652667,0.17325153,0.03874022,1.382027322,16
Prairie Island,North,12,PI12,B,30,170,120,290,1.007712876,0.997511928,0.124068687,0.027742602,1.375183187,16
Prairie Island,North,12,PI12,B,40,242,87,329,0.188765553,0.175312951,0.036951203,0.00826254,0.317704187,16
Prairie Island,North,12,PI12,D,10,172,18,190,0.035925442,0.029350295,0.014490438,0.00324016,0.083109145,16
Prairie Island,North,12,PI12,D,20,97,200,297,0.518133087,0.506897133,0.077242151,0.01727187,0.698487516,16
Prairie Island,North,12,PI12,D,25,96,247,343,0.937030868,0.871357838,0.202803711,0.045348288,1.428156591,16
Prairie Island,North,12,PI12,D,30,151,265,416,0.934231036,0.906552931,0.134812524,0.030144997,1.285718764,16
Prairie Island,North,12,PI12,D,40,155,396,551,0.175258942,0.173305201,0.015452029,0.003455179,0.213002617,16
Prairie Island,North,13,PI13,A,10,61,2,63,0.035770587,0.03552962,0.013228546,0.006614273,0.051087982,16
Prairie Island,North,13,PI13,A,20,91,92,183,0.928535595,0.921407288,0.085976831,0.019225004,1.119671554,16
Prairie Island,North,13,PI13,A,25,165,359,524,1.215760943,1.17063648,0.13252075,0.02963254,1.500899075,16
Prairie Island,North,13,PI13,A,30,93,224,317,1.189900502,1.129290749,0.18208908,0.040716356,1.832343286,16
Prairie Island,North,13,PI13,A,40,34,38,72,0.141979412,0.130317521,0.032607366,0.007291229,0.254637619,16
Prairie Island,North,14,PI14,A,10,108,2,110,0.039508562,0.035246598,0.012981794,0.002902817,0.073270445,16
Prairie Island,North,14,PI14,A,20,116,116,232,0.894853768,0.843434841,0.121800563,0.027235434,1.221367377,16
Prairie Island,North,14,PI14,A,25,56,197,253,1.229051638,1.176672486,0.243476923,0.054443095,1.899234876,16
Prairie Island,North,14,PI14,A,30,64,100,164,1.118636151,1.096778147,0.132969079,0.02973279,1.578117039,16
Prairie Island,North,14,PI14,A,40,139,244,383,0.252561947,0.244310885,0.032675062,0.007306366,0.357211424,16
Prairie Island,North,14,PI14,B,10,326,19,345,0.03401458,0.030215186,0.012201554,0.002728351,0.068458063,16
Prairie Island,North,14,PI14,B,20,241,499,740,0.961719681,0.948197893,0.115178875,0.025754779,1.277470431,16
Prairie Island,North,14,PI14,B,25,63,258,321,1.070360613,1.019646348,0.166137557,0.037149487,1.5913764,16
Prairie Island,North,14,PI14,B,30,49,223,272,1.047881052,1.008346704,0.099279877,0.022199655,1.373181828,16
Prairie Island,North,14,PI14,B,40,246,278,524,0.152179061,0.153877609,0.02231233,0.004989189,0.20159226,16
Prairie Island,North,15,PI15,A,10,200,7,207,0.03554734,0.032553217,0.009713096,0.002171914,0.061408651,16
Prairie Island,North,15,PI15,A,20,78,216,294,1.21525062,1.209136871,0.137303385,0.03070197,1.594215871,16
Prairie Island,North,15,PI15,A,25,67,151,218,1.471697084,1.403121741,0.207688915,0.046440653,2.204969204,16
Prairie Island,North,15,PI15,A,30,49,298,347,0.907924498,0.8696065,0.133873504,0.029935025,1.270148281,16
Prairie Island,North,15,PI15,A,40,250,460,710,0.190741066,0.172930239,0.050762004,0.011350729,0.380091555,16
Prairie Island,North,15,PI15,C,10,106,14,120,0.032368379,0.025809551,0.020299497,0.004539106,0.097483367,16
Prairie Island,North,15,PI15,C,20,72,93,165,0.70281223,0.693580464,0.693580464,0.05787611,0.012941492,16
Prairie Island,North,15,PI15,C,25,165,194,359,1.084537059,0.969999985,0.195171396,0.043641651,1.572262934,16
Prairie Island,North,15,PI15,C,30,56,169,225,1.041464283,0.922139335,0.238040223,0.053227412,1.848106547,16
Prairie Island,North,15,PI15,C,40,124,134,258,0.141046908,0.132754902,0.021312903,0.00476571,0.197656109,16
Prairie Island,North,15,PI15,D,10,387,15,402,0.040153691,0.039349816,0.006153337,0.001375928,0.05234078,16
Prairie Island,North,15,PI15,D,20,101,279,380,1.003110975,0.970141771,0.12087165,0.027027723,1.390977991,16
Prairie Island,North,15,PI15,D,25,43,56,99,1.186054948,1.139656042,0.189323934,0.042334119,1.532018214,16
Prairie Island,North,15,PI15,D,30,12,83,95,1.027634156,1.006335433,0.16583754,0.037082401,1.498431352,16
Prairie Island,North,15,PI15,D,40,109,125,234,0.253770102,0.241104208,0.036607585,0.008185705,0.344591028,16
Prairie Island,North,18,PI18,A,10,124,0,124,0.04321718,0.033647604,0.020753962,0.004640727,0.099203911,16
Prairie Island,North,18,PI18,A,20,71,213,284,1.071140784,1.08236023,0.121987579,0.027277252,1.348927777,16
Prairie Island,North,18,PI18,A,25,68,255,323,1.176893722,1.084449591,0.175346029,0.039208564,1.540260911,16
Prairie Island,North,18,PI18,A,30,109,139,248,0.763421288,0.754928409,0.087313732,0.019523944,0.994296787,16
Prairie Island,North,18,PI18,A,40,61,109,170,0.155195134,0.151397114,0.021315675,0.00476633,0.20183347,16
